진료년도,상병구분,시도,시군구,성별,환자수,입내원일수,요양급여비용
2018,ADHD, 충북 , 충주시 , 여 ,22,114,9334810
2018,ADHD, 충북 , 제천시 , 남 ,28,267,9516710
2018,ADHD, 충북 , 제천시 , 여 ,0,0,0
2018,ADHD, 충남 , 금산군 , 남 ,13,164,7821110
2018,ADHD, 충남 , 금산군 , 여 ,0,0,0
2018,ADHD, 충남 , 부여군 , 남 ,0,0,0
2018,ADHD, 충남 , 부여군 , 여 ,0,0,0
2018,ADHD, 충남 , 서천군 , 남 ,0,0,0
2018,ADHD, 충남 , 서천군 , 여 ,0,0,0
2018,ADHD, 충남 , 예산군 , 남 ,0,0,0
2018,ADHD, 충남 , 예산군 , 여 ,0,0,0
2018,ADHD, 충남 , 청양군 , 남 ,0,0,0
2018,ADHD, 충남 , 청양군 , 여 ,0,0,0
2018,ADHD, 충남 , 홍성군 , 남 ,13,68,4022140
2018,ADHD, 충남 , 홍성군 , 여 ,0,0,0
2018,ADHD, 충남 , 태안군 , 남 ,0,0,0
2018,ADHD, 충남 , 태안군 , 여 ,0,0,0
2018,ADHD, 충남 , 천안서북구 , 남 ,153,956,53939300
2018,ADHD, 충남 , 천안서북구 , 여 ,31,145,8691260
2018,ADHD, 충남 , 천안동남구 , 남 ,399,2223,222042240
2018,ADHD, 충남 , 천안동남구 , 여 ,97,520,40981800
2018,ADHD, 충남 , 공주시 , 남 ,141,975,90741310
2018,ADHD, 충남 , 공주시 , 여 ,18,121,12079060
2018,ADHD, 충남 , 보령시 , 남 ,0,0,0
2018,ADHD, 충남 , 보령시 , 여 ,0,0,0
2018,ADHD, 충남 , 아산시 , 남 ,373,3135,141587170
2018,ADHD, 충남 , 아산시 , 여 ,66,665,32340710
2018,ADHD, 충남 , 서산시 , 남 ,31,252,6171970
2018,ADHD, 충남 , 서산시 , 여 ,0,0,0
2018,ADHD, 충남 , 논산시 , 남 ,41,166,15870750
2018,ADHD, 충남 , 논산시 , 여 ,0,0,0
2018,ADHD, 충남 , 계룡시 , 남 ,0,0,0
2018,ADHD, 충남 , 계룡시 , 여 ,0,0,0
2018,ADHD, 충남 , 당진시 , 남 ,87,846,50462570
2018,ADHD, 충남 , 당진시 , 여 ,14,129,7708350
2018,ADHD, 전북 , 고창군 , 남 ,0,0,0
2018,ADHD, 전북 , 고창군 , 여 ,0,0,0
2018,ADHD, 전북 , 무주군 , 남 ,0,0,0
2018,ADHD, 전북 , 무주군 , 여 ,0,0,0
2018,ADHD, 전북 , 부안군 , 남 ,0,0,0
2018,ADHD, 전북 , 부안군 , 여 ,0,0,0
2018,ADHD, 전북 , 순창군 , 남 ,0,0,0
2018,ADHD, 전북 , 순창군 , 여 ,0,0,0
2018,ADHD, 전북 , 완주군 , 남 ,0,0,0
2018,ADHD, 전북 , 완주군 , 여 ,0,0,0
2018,ADHD, 전북 , 임실군 , 남 ,0,0,0
2018,ADHD, 전북 , 임실군 , 여 ,0,0,0
2018,ADHD, 전북 , 장수군 , 남 ,0,0,0
2018,ADHD, 전북 , 장수군 , 여 ,0,0,0
2018,ADHD, 전북 , 진안군 , 남 ,0,0,0
2018,ADHD, 전북 , 진안군 , 여 ,0,0,0
2018,ADHD, 전북 , 군산시 , 남 ,88,724,52640760
2018,ADHD, 전북 , 군산시 , 여 ,12,67,4064990
2018,ADHD, 전북 , 남원시 , 남 ,0,0,0
2018,ADHD, 전북 , 남원시 , 여 ,0,0,0
2018,ADHD, 전북 , 익산시 , 남 ,86,530,39964110
2018,ADHD, 전북 , 익산시 , 여 ,21,74,5945900
2018,ADHD, 전북 , 전주완산구 , 남 ,392,3644,141051120
2018,ADHD, 전북 , 전주완산구 , 여 ,96,796,34074650
2018,ADHD, 전북 , 전주덕진구 , 남 ,160,742,46326580
2018,ADHD, 전북 , 전주덕진구 , 여 ,27,207,16380280
2018,ADHD, 전북 , 정읍시 , 남 ,20,85,3927820
2018,ADHD, 전북 , 정읍시 , 여 ,0,0,0
2018,ADHD, 전북 , 김제시 , 남 ,0,0,0
2018,ADHD, 전북 , 김제시 , 여 ,0,0,0
2018,ADHD, 전남 , 강진군 , 남 ,0,0,0
2018,ADHD, 전남 , 강진군 , 여 ,0,0,0
2018,ADHD, 전남 , 고흥군 , 남 ,19,321,14793430
2018,ADHD, 전남 , 고흥군 , 여 ,0,0,0
2018,ADHD, 전남 , 곡성군 , 남 ,0,0,0
2018,ADHD, 전남 , 곡성군 , 여 ,0,0,0
2018,ADHD, 전남 , 구례군 , 남 ,0,0,0
2018,ADHD, 전남 , 구례군 , 여 ,0,0,0
2018,ADHD, 전남 , 담양군 , 남 ,0,0,0
2018,ADHD, 전남 , 담양군 , 여 ,0,0,0
2018,ADHD, 전남 , 무안군 , 남 ,0,0,0
2018,ADHD, 전남 , 무안군 , 여 ,0,0,0
2018,ADHD, 전남 , 보성군 , 남 ,0,0,0
2018,ADHD, 전남 , 보성군 , 여 ,0,0,0
